Economics,ROLL NO,Class
65,100,XII
66,101,XII
67,102,XII
68,103,XII
69,104,XII
70,105,XII
71,106,XII
72,107,XII
73,108,XII
74,109,XII
75,110,XII
76,111,XII
77,112,XII
78,113,XII
79,114,XII
80,115,XII
81,116,XII
82,117,XII
83,118,XII
84,119,XII
85,120,XII
86,121,XII
87,122,XII
88,123,XII
89,124,XII
90,125,XII
91,126,XII
92,127,XII
93,128,XII
94,129,XII
95,130,XII
96,131,XII
97,132,XII
98,133,XII
51,134,XII
52,135,XII
53,136,XII
54,137,XII
55,138,XII
56,139,XII
57,140,XII
58,141,XII
59,142,XII
60,143,XII
61,144,XII
62,145,XII
63,146,XII
64,147,XII
65,148,XII
66,149,XII
67,150,XII
68,151,XII
69,152,XII
70,153,XII
71,154,XII
72,155,XII
73,156,XII
74,157,XII
75,158,XII
76,159,XII
77,160,XII
78,161,XII
79,162,XII
80,163,XII
81,164,XII
82,165,XII
83,166,XII
84,167,XII
85,168,XII
86,169,XII
87,170,XII
60,171,XII
63,172,XII
66,173,XII
69,174,XII
72,175,XII
75,176,XII
78,177,XII
81,178,XII
84,179,XII
87,180,XII
90,181,XII
93,182,XII
96,183,XII
99,184,XII
62,185,XII
62,186,XII
62,187,XII
62,188,XII
62,189,XII
76,190,XII
77,191,XII
78,192,XII
79,193,XII
80,194,XII
81,195,XII
82,196,XII
83,197,XII
84,198,XII
85,199,XII
86,200,XII
87,201,XII
88,202,XII
89,203,XII
90,204,XII
91,205,XII
92,206,XII
93,207,XII
94,208,XII
95,209,XII
96,210,XII
97,211,XII
98,212,XII
99,213,XII
100,214,XII
67,215,XII
67,216,XII
68,217,XII
68,218,XII
68,219,XII
68,220,XII
68,221,XII
68,222,XII
69,223,XII
69,224,XII
69,225,XII
70,226,XII
70,227,XII
70,228,XII
70,229,XII
70,230,XII
70,231,XII
70,232,XII
70,233,XII
70,234,XII
70,235,XII
70,236,XII
71,237,XII
72,238,XII
73,239,XII
74,240,XII
75,241,XII
76,242,XII
77,243,XII
78,244,XII
79,245,XII
80,246,XII
81,247,XII
82,248,XII
83,249,XII
84,250,XII
85,251,XII
86,252,XII
87,253,XII
88,254,XII
89,255,XII
90,256,XII
91,257,XII
92,258,XII
93,259,XII
94,260,XII
95,261,XII
96,262,XII
75,263,XII
75,264,XII
75,265,XII
75,266,XII
74,267,XII
75,268,XII
76,269,XII
77,270,XII
78,271,XII
79,272,XII
80,273,XII
81,274,XII
82,275,XII
83,276,XII
84,277,XII
85,278,XII
86,279,XII
87,280,XII
88,281,XII
89,282,XII
90,283,XII
91,284,XII
92,285,XII
93,286,XII
94,287,XII
95,288,XII
96,289,XII
97,290,XII
98,291,XII
99,292,XII
100,293,XII
80,294,XII
80,295,XII
80,296,XII
80,297,XII
80,298,XII
80,299,XII
81,300,XII
81,301,XII
81,302,XII
82,303,XII
82,304,XII
82,305,XII
82,306,XII
82,307,XII
82,308,XII
83,309,XII
83,310,XII
83,311,XII
84,312,XII
84,313,XII
84,314,XII
84,315,XII
84,316,XII
84,317,XII
85,318,XII
85,319,XII
85,320,XII
85,321,XII
85,322,XII
86,323,XII
86,324,XII
86,325,XII
87,326,XII
87,327,XII
87,328,XII
97,329,XII
87,330,XII
88,331,XII
88,332,XII
88,333,XII
88,334,XII
88,335,XII
89,336,XII
89,337,XII
89,338,XII
89,339,XII
89,340,XII
90,341,XII
90,342,XII
90,343,XII
90,344,XII
91,345,XII
91,346,XII
92,347,XII
92,348,XII
92,349,XII
92,350,XII
92,351,XII
94,352,XII
94,353,XII
94,354,XII
94,355,XII
94,356,XII
95,357,XII
95,358,XII
95,359,XII
95,360,XII
96,361,XII
96,362,XII
96,363,XII
96,364,XII
96,365,XII
96,366,XII
97,367,XII
98,368,XII
98,369,XII
99,370,XII
100,371,XII
98,372,XII
96,373,XII
94,374,XII
92,375,XII
90,376,XII
88,377,XII
86,378,XII
84,379,XII
82,380,XII
80,381,XII
78,382,XII
76,383,XII
74,384,XII
75,385,XII
76,386,XII
77,387,XII
78,388,XII
79,389,XII
80,390,XII
81,391,XII
82,392,XII
83,393,XII
84,394,XII
85,395,XII
86,396,XII
87,397,XII
88,398,XII
89,399,XII
90,400,XII
89,401,XII
88,402,XII
87,403,XII
86,404,XII
85,405,XII
84,406,XII
83,407,XII
82,408,XII
81,409,XII
80,410,XII
79,411,XII
78,412,XII
77,413,XII
76,414,XII
75,415,XII
74,416,XII
73,417,XII
