Birth Rate,Business Tax Rate,CO2 Emissions,Above Threshold?,GDP per Capita,Birth Rate Bin,Life Expectancy,Ease of Business (clusters),Country/Region,Days to Start Business,Ease of Business,Energy Usage,GDP per Capita (bin),GDP,Health Exp % GDP,Health Exp/Capita,Hours to do Tax,Infant Mortality Rate,Internet Usage,Lending Interest,Life Expectancy Female,Life Expectancy Male,Mobile Phone Usage,Number of Records,Population 0-14,Population 15-64,Population 65+,Population Total,Population Urban,Region,Tourism Inbound,Tourism Outbound,Year
2.0%,,87931,Below Threshold,"$1,727",1.5-3%,69,Low,Algeria,,,26998,$0,$55B,3.5%,$60,,0.034,1%,0.1,71,67,0%,1,0.342,0.619,0.039,31.7M,59.9%,Africa,$0B,$0B,12/1/2000
5.0%,,9542,Below Threshold,$656,Above 3%,46,Low,Angola,,,7499,$0,$9B,3.4%,$22,,0.128,0%,1.032,47,44,0%,1,0.476,0.499,0.025,13.9M,32.4%,Africa,$0B,$0B,12/1/2000
4.3%,,1617,Below Threshold,$339,Above 3%,55,Low,Benin,,,1983,$0,$2B,4.3%,$15,,0.09,0%,,57,53,1%,1,0.454,0.517,0.029,6.9M,38.3%,Africa,$0B,$0B,12/1/2000
2.7%,,4276,Below Threshold,"$3,297",1.5-3%,51,Friendly,Botswana,,,1836,$0,$6B,4.7%,$152,,0.054,3%,0.155,52,49,13%,1,0.383,0.587,0.029,1.8M,53.2%,Africa,$0B,$0B,12/1/2000
4.6%,,1041,Below Threshold,$225,Above 3%,51,Low,Burkina Faso,,,,$0,$3B,5.1%,$12,,0.096,0%,,52,49,0%,1,0.468,0.505,0.028,11.6M,17.8%,Africa,$0B,$0B,12/1/2000
4.2%,,301,Below Threshold,$130,Above 3%,48,Low,Burundi,,,,$0,$1B,6.3%,$7,,0.092,0%,0.158,49,47,0%,1,0.49,0.481,0.029,6.7M,8.2%,Africa,$0B,$0B,12/1/2000
4.1%,,3432,Below Threshold,$583,Above 3%,52,Low,Cameroon,,,6310,$0,$9B,4.4%,$26,,0.093,0%,0.22,53,51,1%,1,0.453,0.513,0.034,15.9M,45.5%,Africa,$0B,$0B,12/1/2000
3.9%,,268,Below Threshold,$251,Above 3%,44,Low,Central African Republic,,,,$0,$1B,4.3%,$11,,0.113,0%,0.22,45,42,0%,1,0.423,0.537,0.04,3.6M,37.6%,Africa,$0B,$0B,12/1/2000
5.1%,,176,Below Threshold,$167,Above 3%,47,Low,Chad,,,,$0,$1B,6.3%,$10,,0.106,0%,0.22,48,46,0%,1,0.49,0.482,0.028,8.3M,21.6%,Africa,$0B,$0B,12/1/2000
3.9%,,84,Below Threshold,$382,Above 3%,58,Low,Comoros,,,,$0,$0B,3.5%,$13,,0.073,0%,0.12,59,56,,1,0.415,0.554,0.031,0.5M,28.1%,Africa,$0B,,12/1/2000
4.8%,,1646,Below Threshold,$407,Above 3%,47,Low,Congo (Kinshasa),,,16679,$0,$19B,4.8%,$14,,0.115,0%,,48,45,0%,1,0.464,0.507,0.028,46.9M,35.1%,Africa,,,12/1/2000
3.9%,,1049,Below Threshold,"$1,030",Above 3%,52,Low,Congo (Brazzaville),,,814,$0,$3B,2.1%,$22,,0.077,0%,0.22,53,51,2%,1,0.419,0.545,0.036,3.1M,58.7%,Africa,$0B,$0B,12/1/2000
3.8%,,6791,Below Threshold,$646,Above 3%,47,Low,Cote d'Ivoire,,,6734,$0,$10B,6.5%,$42,,0.1,0%,,47,46,3%,1,0.421,0.55,0.029,16.1M,43.5%,Africa,$0B,$0B,12/1/2000
3.0%,,403,Below Threshold,$763,Above 3%,57,Low,Djibouti,,,,$0,$1B,5.8%,$44,,0.08,0%,,59,55,0%,1,0.414,0.556,0.03,0.7M,76.5%,Africa,$0B,$0B,12/1/2000
2.5%,,141326,Below Threshold,"$1,510",1.5-3%,69,Moderate,Egypt,,,40658,$0,$100B,5.4%,$79,,0.036,1%,0.132,71,66,2%,1,0.354,0.592,0.053,66.1M,42.8%,Africa,$5B,$1B,12/1/2000
4.0%,,455,Below Threshold,"$2,019",Above 3%,48,Low,Equatorial Guinea,,,,$0,$1B,2.4%,$57,,0.099,0%,0.22,49,46,1%,1,0.426,0.537,0.037,0.5M,38.8%,Africa,$0B,$0B,12/1/2000
4.0%,,609,Below Threshold,$179,Above 3%,56,Low,Eritrea,,,708,$0,$1B,4.5%,$7,,0.058,0%,,58,54,,1,0.47,0.512,0.018,3.9M,17.6%,Africa,$0B,,12/1/2000
4.4%,,5831,Below Threshold,$123,Above 3%,52,Moderate,Ethiopia,,,25242,$0,$8B,4.3%,$5,,0.09,0%,0.109,53,51,0%,1,0.466,0.503,0.031,66.0M,14.7%,Africa,$0B,$0B,12/1/2000
3.4%,,1052,Below Threshold,"$4,135",Above 3%,60,Low,Gabon,,,1463,$0,$5B,2.9%,$118,,0.056,1%,0.22,61,59,10%,1,0.406,0.535,0.059,1.2M,80.1%,Africa,$0B,$0B,12/1/2000
4.5%,,275,Below Threshold,$637,Above 3%,55,Low,"Gambia, The",,,,$0,$1B,4.5%,$29,,0.063,1%,0.24,56,54,1%,1,0.459,0.514,0.027,1.2M,47.9%,Africa,,,12/1/2000
3.5%,,6289,Below Threshold,$265,Above 3%,57,Friendly,Ghana,,,7736,$0,$5B,4.8%,$13,,0.065,0%,,58,56,1%,1,0.414,0.556,0.03,18.8M,43.9%,Africa,$0B,$0B,12/1/2000
4.2%,,1280,Below Threshold,$342,Above 3%,51,Low,Guinea,,,,$0,$3B,5.6%,$19,,0.103,0%,0.194,51,51,1%,1,0.44,0.525,0.034,8.7M,31.0%,Africa,$0B,$0B,12/1/2000
4.2%,,147,Below Threshold,$284,Above 3%,52,Low,Guinea-Bissau,,,,$0,$0B,4.9%,$16,,0.109,0%,,53,50,,1,0.435,0.534,0.031,1.3M,36.7%,Africa,,,12/1/2000
3.9%,,10418,Below Threshold,$406,Above 3%,53,Moderate,Kenya,,,14055,$0,$13B,4.7%,$19,,0.069,0%,0.223,54,52,0%,1,0.442,0.531,0.028,31.3M,19.9%,Africa,$1B,$0B,12/1/2000
3.1%,,,Below Threshold,$415,Above 3%,48,Moderate,Lesotho,,,,$0,$1B,6.9%,$29,,0.081,0%,0.171,48,47,1%,1,0.412,0.543,0.045,1.9M,19.5%,Africa,$0B,$0B,12/1/2000
4.3%,,436,Below Threshold,$183,Above 3%,53,Low,Liberia,,,,$0,$1B,5.9%,$11,,0.119,0%,0.205,53,52,0%,1,0.432,0.537,0.031,2.9M,44.3%,Africa,,,12/1/2000
2.2%,,47114,Below Threshold,"$6,549",1.5-3%,72,Low,Libya,,,15901,"$4,688",$34B,3.4%,$252,,0.024,0%,0.07,74,70,1%,1,0.333,0.628,0.039,5.2M,76.3%,Africa,$0B,$0B,12/1/2000
4.1%,,1874,Below Threshold,$246,Above 3%,59,Moderate,Madagascar,,,,$0,$4B,5.0%,$12,,0.071,0%,0.265,60,57,0%,1,0.455,0.515,0.03,15.7M,27.1%,Africa,$0B,$0B,12/1/2000
4.5%,,906,Below Threshold,$154,Above 3%,46,Low,Malawi,,,,$0,$2B,6.1%,$9,,0.103,0%,0.531,46,46,0%,1,0.458,0.511,0.031,11.3M,14.6%,Africa,$0B,$0B,12/1/2000
4.8%,,543,Below Threshold,$236,Above 3%,49,Low,Mali,,,,$0,$2B,6.3%,$16,,0.116,0%,,49,49,0%,1,0.461,0.504,0.035,10.3M,28.4%,Africa,$0B,$0B,12/1/2000
3.8%,,1236,Below Threshold,$478,Above 3%,60,Low,Mauritania,,,,$0,$1B,6.0%,$24,,0.076,0%,0.256,61,58,1%,1,0.428,0.54,0.032,2.7M,49.2%,Africa,,,12/1/2000
1.7%,,2769,Below Threshold,"$3,861",1.5-3%,72,Very Friendly,Mauritius,,,,$0,$5B,3.7%,$146,,0.016,7%,0.208,75,68,15%,1,0.258,0.681,0.061,1.2M,42.7%,Africa,$1B,$0B,12/1/2000
2.2%,,33905,Below Threshold,"$1,289",1.5-3%,69,Friendly,Morocco,,,10238,$0,$37B,4.2%,$54,,0.043,1%,0.133,70,67,8%,1,0.341,0.613,0.047,28.7M,53.3%,Africa,$2B,$1B,12/1/2000
4.4%,,1349,Below Threshold,$236,Above 3%,48,Moderate,Mozambique,,,7173,$0,$4B,6.2%,$15,,0.114,0%,0.19,49,46,0%,1,0.438,0.53,0.032,18.3M,29.1%,Africa,$0B,$0B,12/1/2000
3.2%,,1643,Below Threshold,"$2,059",Above 3%,55,Friendly,Namibia,,,978,$0,$4B,6.1%,$126,,0.049,2%,0.153,57,53,4%,1,0.405,0.562,0.033,1.9M,32.4%,Africa,$0B,$0B,12/1/2000
5.3%,,796,Below Threshold,$164,Above 3%,51,Low,Niger,,,,$0,$2B,6.4%,$10,,0.101,0%,,51,51,0%,1,0.479,0.495,0.025,11.0M,16.2%,Africa,$0B,$0B,12/1/2000
4.3%,,79182,Below Threshold,$378,Above 3%,47,Moderate,Nigeria,,,90596,$0,$46B,4.6%,$17,,0.113,0%,0.213,47,46,0%,1,0.435,0.537,0.028,122.9M,34.8%,Africa,$0B,$1B,12/1/2000
4.1%,,686,Below Threshold,$207,Above 3%,48,Friendly,Rwanda,,,,$0,$2B,4.2%,$9,,0.108,0%,0.17,49,47,1%,1,0.466,0.505,0.03,8.4M,14.9%,Africa,$0B,$0B,12/1/2000
3.6%,,48,Below Threshold,$550,Above 3%,64,Low,Sao Tome and Principe,,,,$0,$0B,8.9%,$46,,0.058,5%,0.397,65,62,,1,0.44,0.52,0.04,0.1M,53.4%,Africa,$0B,$0B,12/1/2000
4.0%,,3938,Below Threshold,$475,Above 3%,58,Low,Senegal,,,2398,$0,$5B,4.6%,$22,,0.069,0%,,59,56,3%,1,0.451,0.517,0.032,9.9M,40.3%,Africa,$0B,$0B,12/1/2000
1.9%,,565,Below Threshold,"$7,579",1.5-3%,,Friendly,Seychelles,,,,"$4,688",$1B,4.8%,$371,,0.012,7%,0.107,,,33%,1,0.282,0.637,0.081,0.1M,50.1%,Africa,$0B,$0B,12/1/2000
4.4%,,425,Above Threshold,$154,Above 3%,38,Moderate,Sierra Leone,,,,$0,$1B,18.4%,$28,,0.141,0%,0.263,39,37,0%,1,0.43,0.546,0.025,4.1M,35.6%,Africa,$0B,$0B,12/1/2000
4.9%,,517,Below Threshold,,Above 3%,51,Not Clustered,Somalia,,,,,,,,,0.105,0%,,52,49,1%,1,0.472,0.499,0.029,7.4M,33.2%,Africa,,,12/1/2000
2.4%,,368611,Below Threshold,"$3,023",1.5-3%,56,Very Friendly,South Africa,,,109264,$0,$133B,8.3%,$246,,0.052,5%,0.145,58,54,19%,1,0.33,0.636,0.034,44.0M,56.9%,Africa,$3B,$3B,12/1/2000
4.3%,,,Below Threshold,,Above 3%,49,Low,South Sudan,,,,,,,,,0.11,,,50,48,,1,0.447,0.523,0.03,6.7M,16.5%,Africa,,,12/1/2000
4.0%,,5534,Below Threshold,$442,Above 3%,58,Moderate,Sudan,,,13340,$0,$12B,3.4%,$15,,0.069,0%,,60,56,0%,1,0.437,0.533,0.03,27.7M,32.5%,Africa,$0B,$0B,12/1/2000
3.3%,,1188,Below Threshold,"$1,433",Above 3%,49,Moderate,Swaziland,,,,$0,$2B,5.3%,$75,,0.08,1%,0.14,49,48,3%,1,0.446,0.524,0.029,1.1M,22.7%,Africa,$0B,$0B,12/1/2000
